book_id,user_id,rating
1885,120762651,5
1885,1720620,5
1885,3920693,4
1885,4988481,2
1885,6431467,5
1885,45618,3
1885,137111152,5
1885,78485297,5
1885,53701594,5
1885,27788046,5
1885,124132123,1
1885,102159719,5
1885,101179363,5
1885,65321843,5
1885,91434473,5
1885,5431458,5
1885,134523072,5
1885,8734459,5
1885,16254355,3
1885,8228243,5
1885,14006100,5
1885,48056505,5
1885,43473040,5
1885,16958299,5
1885,7202176,2
1885,187457635,5
1885,83582,5
1885,82156089,3
1885,2250020,5
1885,54464244,3
1885,110612670,2
1885,25683251,3
1885,61242604,5
1885,416390,3
1885,3284904,4
1885,1,5
1885,13427823,4
1885,6237864,5
1885,163018397,4
1885,3263980,5
1885,8190907,5
1885,22189348,5
1885,20658145,5
1885,134977877,4
1885,163070569,4
1885,45198798,5
1885,60866073,4
1885,7407364,5
1885,149694522,5
1885,30575403,5
1885,138801181,2
1885,144455697,5
1885,1964146,2
1885,5009669,4
1885,33510193,5
1885,94868736,5
1885,117399210,4
1885,141568626,5
1885,167492150,4
1885,80959852,5
1885,135462930,4
1885,17600832,3
1885,269235,5
1885,128191325,5
1885,731288,5
1885,57354360,4
1885,93434926,1
1885,39589830,5
1885,372363,1
1885,10148904,4
1885,187446807,3
1885,7665532,1
1885,36538861,5
1885,7706640,4
1885,28365883,4
1885,1742824,5
1885,20643658,5
1885,56035852,5
1885,46308842,5
1885,23427125,5
1885,22168173,5
1885,2922102,4
1885,109681904,5
1885,53067896,5
1885,9314299,5
1885,42191546,4
1885,116048437,5
1885,32342930,5
1885,154417108,5
1885,145282420,5
1885,10762033,5
1885,14717996,4
1885,37663581,5
1885,28636277,2
1885,67861858,3
1885,3236194,1
1885,33207507,5
1885,75822513,5
1885,101358081,4
1885,14457130,2
1885,21803154,5
1885,19736308,5
1885,25867535,5
1885,7365405,3
1885,138218419,5
1885,11166121,5
1885,27544490,5
1885,20749430,4
1885,4426615,5
1885,119939735,4
1885,44487975,4
1885,2876105,5
1885,17420799,5
1885,21992464,4
1885,27304766,4
1885,40302269,4
1885,7383561,4
1885,130955903,5
1885,68265159,2
1885,45926752,4
1885,60583774,4
1885,54790180,5
1885,9902950,5
1885,128854465,3
1885,68364104,5
1885,5312173,5
1885,74918823,3
1885,7392004,5
1885,1022982,5
1885,143606975,4
1885,32616254,5
1885,118373317,5
1885,92667123,5
1885,136122039,4
1885,165736606,2
1885,5328952,5
1885,5433522,5
1885,38658747,2
1885,128749680,3
1885,43040512,5
1885,16176892,5
1885,18780551,5
1885,55299343,5
1885,175799812,4
1885,416888,5
1885,134043614,1
1885,172784347,3
1885,46226399,5
1885,163542827,4
1885,12222982,3
1885,3675162,5
1885,11284813,4
1885,164509151,5
1885,14046996,5
1885,49365462,1
1885,99767882,5
1885,4213258,5
1885,53694260,3
1885,161416069,5
1885,4674014,5
1885,39841914,5
1885,7132123,5
1885,82763676,4
1885,39575951,4
1885,17568354,4
1885,116001049,3
1885,27369602,5
1885,11856352,5
1885,1449414,5
1885,5253785,4
1885,40256937,5
1885,119578456,4
1885,53002487,4
1885,42055091,5
1885,97390147,5
1885,117374710,5
1885,7013001,5
1885,4643325,5
1885,108125111,5
1885,21575078,5
1885,6700518,5
1885,28935449,5
1885,7668522,5
1885,172030325,3
1885,279256,5
1885,51664350,4
1885,90586539,5
1885,64390738,5
1885,26303598,5
1885,5932778,4
1885,22871526,5
1885,88222355,5
1885,96868145,5
1885,15735368,5
1885,7621359,5
1885,4995826,5
1885,237469,5
1885,103195758,5
1885,126925370,5
1885,145423706,5
1885,56294126,5
1885,5942822,4
1885,2846645,5
1885,83110182,5
1885,45196956,4
